product-code,product-category,ProductName,list-price,your-price,brand,Description,ImageURL
ROB14055,"Air Conditioning, Cooling > Adapters"," 
.25 FFL X LH ACME ADAPTER
",$49.38,$31.27,Robinair,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
.25 FFL X LH ACME ADAPTER</span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/templates/eauto/images/nophoto.gif?v-cache=1570177117
FJC6072YF,"Air Conditioning, Cooling > Adapters"," 
R1234yf Adapter Assortment
",$74.14,$45.98,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p><strong>Features &amp; Benefits:</strong></p> <ul> <li>Easy to use</li> <li>Most Popular Adapters for yf</li> </ul> <p> </p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJC6072YF-2T.jpg?v-cache=1570177117
FJC2672,"Air Conditioning, Cooling > Retrofitting Kit"," 
STANDARDPORTCORE
",$0.57,$0.43,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<span style=""font-face:Times New Roman;font-size:medium;""></span><p style=""margin:0in 0in 12pt;line-height:normal;""></p><ul><li><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;"">Retrofit components</span></li><li><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;"">Products and kits which are reliable and long lasting</span></li><li><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;"">Top grade OE replacement parts</span></li><li><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;"">Innovative and repair solutions for automotive aftermarket</span></li><li><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;"">Valve core tool</span></li></ul><p><strong></strong></p><p><strong></strong></p><p><strong></strong></p><span style=""font-face:Times New Roman;font-size:medium;""></span><p style=""background:white;margin:0in 0in 0pt;line-height:normal;vertical-align:baseline;""><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;mso-fareast-font-family:'Times New Roman';"">FJC’s offers retrofit components, products and kits which are reliable and long-lasting. We offer a wide array of items to update an automotive A/C system to a newer refrigerant. FJC is a leading supplier of top-grade OE replacement parts and innovative repair solutions for the automotive aftermarket</span></p><span style=""font-face:Times New Roman;font-size:medium;""></span><p></p><span style=""font-face:Times New Roman;font-size:medium;""></span></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJC2672-2T.jpg
FJC2606,"Air Conditioning, Cooling > Retrofitting Kit"," 
2PC HIGH SIDE GM
",$5.93,$4.31,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p>R134a Retrofit GM HS</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJC2606-2T.jpg
INDVA-LH11,"Air Conditioning, Cooling > Retrofitting Kit"," 
4 ADAPTERS ALL CARS
",$16.66,$9.08,Interdynamics,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p>4 Adpts- All Cars- All Years</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/INDVA-LH11-2T.jpg
TRATP9775-0104,"Air Conditioning, Cooling > Hybrid Oil"," 
Tracer Products TRATP9775-0104 - HYBRID OIL only
",$20.37,$15.29,Tracer Products,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>Tracer Products TRATP9775-0104 </h1><br/><br/><p></p> <ul> <li>Adding OEM-Based Ester Lubricantto a Hybrid A/C System Was Never Simpler!</li> <li><span style=""line-height: 20.8px;"">Big EZ Hybrid/POE oil cartridges are formulated specially for Hybrid systems</span></li> </ul> <p><strong>Includes:</strong></p> <ul> <li>Special Hybrid blend</li> <li>Exact dosing cartridge</li> <li>(1) 4 oz (118 ml) oil cartridge wrapped in a moisture-resistant foil pouch with desiccant bag</li> <li>Fits <span style=""line-height: 20.8px;"">BigEZ injector </span>and all caulking gun type injectors</li> </ul></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/TRATP9775-0104-2T.jpg?v-cache=1570177117
MSC92709-YF-32,"Air Conditioning, Cooling > Hybrid Oil"," 
Zerol 1234yf compressor oil 32 oz
",$38.49,$31.69,Mastercool,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p><strong>Features &amp; Benefits:</strong></p> <ul> <li>Excellent electrical resistivity properties for electrically driven systems</li> <li>Viscosity @ 40 degree C  (cSt): 42.0 - 48.0</li> <li>Low hygroscopicity (tendency to absorb moisture) compared to alternative PAG products with lower di-capping content</li> <li>Good high temperature and chemical stability, even in presence of water, resulting in system lifetime extension and reduced maintenance costs.</li> </ul> <p>ZEROL R1234yf compressor oil 32 oz. HD46 is a fully formulated ISO VG46 grade polyalkylene glycol lubricant designed specifically for application with HFO refrigerant R1234yf in mobile air conditioning (MAC) systems. The product is a double end-capped PAG, and is manufactured to exacting standards of high double endcapping efficiency. ZEROL HD46 is suitable for use in both belt and electrically driven compressors utilizing R1234yf, and is also fully suitable for use in R134a belt-driven and electric MAC compressors.<br/> <br/> Optimized miscibility in HFO refrigerant R1234yf<br/> Superior lubricity compared to alternative lubricant types, including standard ‘single end-capped’ PAG products, and di-capped PAGs with lowerdi-capped material content<br/> Exceptional Viscosity Index (VI) – The high VI enhances compressor life by ensuring efficient running at temperature extremes. The high VI may also allow the user to select a lower viscosity fluid than typically used, with associated power usage savings.<br/> Good high temperature and chemical stability, even in presence of water, resulting in system lifetime extension and reduced maintenance costs.<br/> Low hygroscopicity (tendency to absorb moisture) compared to alternative PAG products with lower di-capping content.<br/> Formulating expertise – ZEROL HD46 series contain optimized additive technology to provide additional corrosion protection within the A/C system, to further enhance the extreme pressure and anti-wear performance of the PAG, and to maximize fluid lifetime by ensuring against thermal or oxidative deterioration of the lubricant. Excellent electrical resistivity properties for electrically driven systems.<br/> <br/> SPECIFICATIONS:<br/> <br/> Viscosity @ 40°C (cSt): 42.0 – 48.0<br/> Colour (Gardner): 1 max.<br/> Water content (ppm): 300 max.<br/> Total Acid Value (mgKOH/g): 0.03 max.<br/> Pour point (°C): &lt;-25<br/> Capping Efficiency: 85.0% minimum<br/> Appearance: Clear to slightly hazy, free of visible particles<br/> il 32 oz</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/MSC92709-YF-32-2T.jpg?v-cache=1570177117
ROB18490,"Air Conditioning, Cooling > Hybrid Oil"," 
Robinair ROB18490 - R134A Oil Injector
",$149.95,$105.54,Robinair,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>Robinair ROB18490 </h1><br/><br/><p></p> <ul> <li>Labelled for POE oil</li> <li>Suit hybrid and electric compressors using POE oil</li> <li>One year warranty</li> <li>Made in USA</li> </ul> <p>The R134A 18490 oil injector is labeled for POE oil which is used in  some hybrid and electric vehicle A/C compressors. Using a dedicated oil  injector avoids cross contamination.</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/ROB18490-2T.jpg?v-cache=1570177117
MSC43302,"Air Conditioning, Cooling > Cooling Systems Adapters"," 
Mastercool MSC43302 - 25 pc cooling system pressure test kit
",$349.99,$237.90,Mastercool,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p></p> <ul> <li>Detects and exposes external system leaks</li> <li>Sintered steel Heavy duty adapter construction</li> <li>Detects internal engine leaks due to blown gaskets or cracked blocks</li> <li>Includes black and blue radiator cap test connectors</li> <li>21 adaptors, hand pump and thermometer</li> </ul></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/MSC43302-2T.jpg?v-cache=1570177117
FJC43660,"Air Conditioning, Cooling > Cooling Systems Adapters"," 
FJC, Inc. FJC43660 - RADIATOR AND CAP PRESSURE TESTER KIT-21PC
",$407.85,$243.90,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p></p> <ul> <li>For use in Pressure Testing Radiator Caps and Radiators</li> <li>For use with Most Domestic, Import Autos, and Light Trucks</li> <li>Includes most popular adapters and accessories</li> </ul></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJC43660-2T.jpg?v-cache=1570177117
