,product-category,ProductName,price,brand,Description,ImageURL
0,Come-Alongs-Chain-Hoists,Mo-Clamp MOC6350 - CABLE SLING,$43.82,Mo-Clamp,"

Mo-Clamp MOC6350 Features and Benefits:  Wrap around pulls Can be used as a choker Made in the U.S.A.  Specs:  Overall length: 36"" Weight: 2 lb. Vertical capacity: 1.5 tons Choke capacity: 1 ton Basket  capacity: 2.5 tons 


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/MOC6350-1.jpg?v-cache=1570177117
1,Come-Alongs-Chain-Hoists,American Forge INT4002,$150.26,American,"

Chain Hoist, 1 Ton Capacity, 1/4"" Chain, 8 ft Lift


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/INT4001-1.jpg?v-cache=1570177117
2,Come-Alongs-Chain-Hoists,Jet Tools Product Code JET287101C,$151.10,Jet,"

Features and Benefits: Weston Style, double pawl brake design splits the loadIndustrial rated alloy steel hooks rotate 360 degreesHooks slowly stretch to indicate an overload situationCast steel safety latches are secured with Allen screws and lock nutsGrade 80 black oxide coated for added durabilityThe JET JLP-A Series 1/4 Ton Mini-Puller with 10' Lift has a Weston Style, double pawl brake design to split the load to opposite sides of the ratchet gear for greater load security. Industrial rated alloy steel hooks rotate 360 degrees for easy rigging and hooks slowly stretch to indicate an overload situation increasing jobsite safety. Cast steel safety latches are secured with Allen screws and lock nuts. Grade 80 black oxide coated for added durability and needle bearing design increases efficiency and promotes smooth operation. Compact Design means smaller body and lightweight design for low headroom applications and use in confined areas.  Includes free Camo Bag.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287101C-1.jpg
3,Come-Alongs-Chain-Hoists,Jet Tools - JET287200 MFG Part # 287200,$155.99,Jet,"

Features and Benefits:  Weston Style, double pawl brake design splits the load to opposite sides of the ratchet gear for greater load security Industrial rated alloy steel hooks rotate 360 degrees for easy rigging Hooks slowly stretch to indicate an overload situation increasing jobsite safety JLP-050A-5 Lever Hoist  Not available for sale in Canada. JET® JLP-A Series lever hoists combine safety, reliability, and durability that are designed to perform in light to medium-duty industrial applications. JET® also offers the option of shipyard hooks, virtually eliminating stretched hooks caused by point or tip loading. The JET® JLP-A lever hoist is available in ¼ ton to 6 ton capacities with standard lifts of 5, 10, 15, and 20 feet (custom lifts available). The JET® JLP-A Series is the perfect choice for a contractor grade lever hoist.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287200-1.jpg?v-cache=1570177117
4,Come-Alongs-Chain-Hoists,Jet Tools JET287103,$175.99,Jet,"

Features and Benefits:  Weston Style, double pawl brake design splits the load to opposite sides of the ratchet gear for greater load security Industrial rated alloy steel hooks rotate 360 degrees for easy rigging Hooks slowly stretch to indicate an overload situation increasing jobsite safety Cast steel safety latches are secured with Allen screws and lock nuts Grade 80 black oxide coated for added durability  Not available for sale in Canada. JET®  JLP-A Series lever hoists combine safety, reliability, and durability  that are designed to perform in light to medium-duty industrial  applications. The patented Brake Wear Indicator increases safety by  letting you know when to replace the friction disks. JET® also offers  the option of shipyard hooks, virtually eliminating stretched hooks  caused by point or tip loading. The JET® JLP-A lever hoist is available  in ¼ ton to 6 ton capacities with standard lifts of 5, 10, 15, and 20  feet (custom lifts available). The JET® JLP-A Series is the perfect  choice for a contractor grade lever hoist.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287102-1.jpg?v-cache=1570177117
5,Come-Alongs-Chain-Hoists,Jet Tools Product Code JET287201C,$188.52,Jet,"

Features and Benefits: Weston Style, double pawl brake designIndustrial rated alloy steel hooks rotate 360 degreesHooks slowly stretch to indicate an overload situationCast steel safety latches are secured with Allen screws and lock nutsGrade 80 black oxide coated for added durabilityThe JET JLP-050A-10 1/2 TON MINI-PULLER  with 10' LIFT has Weston Style, double pawl brake design splits the load to opposite sides of the ratchet gear for greater load security and Industrial rated alloy steel hooks rotate 360 degrees for easy rigging. Hooks slowly stretch to indicate an overload situation increasing jobsite safety. Cast steel safety latches are secured with Allen screws and lock nuts. Grade 80 black oxide coated for added durability and needle bearing design increases efficiency and promotes smooth operation. Compact Design means smaller body and lightweight design for low headroom applications and use in confined areas  Includes free Camo Bag.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287201C-1.jpg
6,Come-Alongs-Chain-Hoists,American Gage - AMG407-15 MFG Part # 407-15,$213.41,American,"

Features & Benefits:Triple gearedHeat treatedThick steel constructionDrop forged safety hooks15 foot liftAmerican Power Pull 407-15 .75 Ton Chain Block with 15' Lift has drop  forged safety hooks with a thick steel construction. It is heat treated  and has triple gears. Easily portable and designed to operate under  rugged conditions.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/AMG407-15-1.jpg?v-cache=1570177117
7,Come-Alongs-Chain-Hoists,Jet Tools JET287203,$217.99,Jet,"

Features and Benefits:  Weston Style, double pawl brake design splits the load to opposite sides of the ratchet gear for greater load security Industrial rated alloy steel hooks rotate 360 degrees for easy rigging Hooks slowly stretch to indicate an overload situation increasing jobsite safety Cast steel safety latches are secured with Allen screws and lock nuts Grade 80 black oxide coated for added durability  Not available for sale in Canada. JET®  JLP-A Series lever hoists combine safety, reliability, and durability  that are designed to perform in light to medium-duty industrial  applications. The patented Brake Wear Indicator increases safety by  letting you know when to replace the friction disks. JET® also offers  the option of shipyard hooks, virtually eliminating stretched hooks  caused by point or tip loading. The JET® JLP-A lever hoist is available  in ¼ ton to 6 ton capacities with standard lifts of 5, 10, 15, and 20  feet (custom lifts available). The JET® JLP-A Series is the perfect  choice for a contractor grade lever hoist.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287202-1.jpg?v-cache=1570177117
8,Come-Alongs-Chain-Hoists,Jet Tools - JET287300 MFG Part # 287300,$225.99,Jet,"

Features and Benefits:  NEW! Innovative brake wear indicator provides a visual indication when the friction disks are worn and need replacing NEW! JET’s improved easy free chain design is a two-step, no load, free chaining system. The system permits quicker hoist positioning and take up of slack chain, and is engineered not to free chain under load The Weston style double ratchet pawl brake design splits the load to opposite sides of the ratchet gear for greater load security and increased safety Industrial rated alloy steel hooks rotate 360 degrees for easy rigging and slowly stretch to indicate an overload situation NEW! Redesigned ergonomic grip allows for greater operator control and increased comfort  Not available for sale in Canada. JET®  JLP-A Series lever hoists combine safety, reliability, and durability  that are designed to perform in light to medium-duty industrial  applications. The patented Brake Wear Indicator increases safety by  letting you know when to replace the friction disks. JET® also offers  the option of shipyard hooks, virtually eliminating stretched hooks  caused by point or tip loading. The JET® JLP-A lever hoist is available  in ¼ ton to 6 ton capacities with standard lifts of 5, 10, 15, and 20  feet (custom lifts available). The JET® JLP-A Series is the perfect  choice for a contractor grade lever hoist.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287300-1.jpg?v-cache=1570177117
9,Come-Alongs-Chain-Hoists,Jet Tools - JET287301 MFG Part # 287301,$241.99,Jet,"

Features and Benefits:  Patented brake wear indicator provides visual indication when to replace worn friction disks Weston Style, double pawl brake design splits the load to opposite sides of the ratchet gear for greater load security Industrial rated alloy steel hooks rotate 360 degrees for easy rigging Safety 1 JLP-075A-10  Lever Hoist  Not available for sale in Canada.  


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287301-1.jpg?v-cache=1570177117
10,Come-Alongs-Chain-Hoists,Jet Tools - JET287302 MFG Part # 287302,$258.99,Jet,"

Features and Benefits:  Innovative brake wear indicator provides a visual indication when the friction disks are worn and need replacing Improved easy free chain design is a two-step, no load, free chaining system Weston style double ratchet pawl brake design splits the load to opposite sides of the ratchet gear for greater load security Industrial rated alloy steel hooks rotate 360º for easy rigging Redesigned ergonomic grip allows for greater operator control and increased comfort  Not available for sale in Canada. JET®  JLP-A Series lever hoists combine safety, reliability, and durability  that are designed to perform in light to medium-duty industrial  applications. The patented Brake Wear Indicator increases safety by  letting you know when to replace the friction disks. JET® also offers  the option of shipyard hooks, virtually eliminating stretched hooks  caused by point or tip loading. The JET® JLP-A lever hoist is available  in ¼ ton to 6 ton capacities with standard lifts of 5, 10, 15, and 20  feet (custom lifts available). The JET® JLP-A Series is the perfect  choice for a contractor grade lever hoist.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287302-1.jpg?v-cache=1570177117
11,Come-Alongs-Chain-Hoists,Jet Tools JET287303,$272.99,Jet,"

Features and Benefits:  NEW! Innovative brake wear indicator provides a visual indication when the friction disks are worn and need replacing NEW! JET’s improved easy free chain design is a two-step, no load, free chaining system. The system permits quicker hoist positioning and take up of slack chain, and is engineered not to free chain under load The Weston style double ratchet pawl brake design splits the load to opposite sides of the ratchet gear for greater load security and increased safety Industrial rated alloy steel hooks rotate 360 degrees for easy rigging and slowly stretch to indicate an overload situation NEW! Redesigned ergonomic grip allows for greater operator control and increased comfort  Not available for sale in Canada. JET®  JLP-A Series lever hoists combine safety, reliability, and durability  that are designed to perform in light to medium-duty industrial  applications. The patented Brake Wear Indicator increases safety by  letting you know when to replace the friction disks. JET® also offers  the option of shipyard hooks, virtually eliminating stretched hooks  caused by point or tip loading. The JET® JLP-A lever hoist is available  in ¼ ton to 6 ton capacities with standard lifts of 5, 10, 15, and 20  feet (custom lifts available). The JET® JLP-A Series is the perfect  choice for a contractor grade lever hoist.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287303-1.jpg?v-cache=1570177117
12,Come-Alongs-Chain-Hoists,American Gage - AMG407-20 MFG Part # 407-20,$279.58,American,"

Features & Benefits:Thick steel constructionDrop forged safety hooksHeat treatedTriple geared20 foot liftAmerican  Power Pull 407-20 .75 Ton Chain Block with 20' Lift has drop forged  safety hooks with a thick steel construction. It is heat treated and has  triple gears. Easily portable and designed to operate under rugged  conditions.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/AMG407-20-1.jpg?v-cache=1570177117
13,Come-Alongs-Chain-Hoists,Jet Tools JET376101,$310.99,Jet,"

Features and Benefits:  Backed by a lifetime replacement warranty, JET’s revolutionary single-piece brake design fuses the three components into the safest brake system in the market NEW! All JLH-Series Lever Hoists come with slip clutch style overload protection that prevents lifting or pulling damaging loads beyond the rated capacity of the hoist and when triggered, the overload protection can be reset on site Weston style double ratchet pawl brake design splits the load to opposite sides of the ratchet gear for greater load security NEW! JET’s improved easy free chain design is a two-step, no load, free chaining system. The system permits quicker hoist positioning and take up of slack chain. And it is engineered not to free chain under load NEW! The patented, advanced offset handle design allows for extra clearance between the operator's hand and the load chain  Not available for sale in Canada. JET®  JLH Series Lever Hoists incorporate safety, durability, and heavy duty  construction for operation in severe industrial environments. Safety  comes standard with features such as overload protection, which prevents  the lever hoist from lifting or pulling damaging loads beyond its rated  capacity. The JET® JLH Series is available in ¼ ton to 9 ton  capacities, with standard lifts of 5, 10, 15, and 20 feet (custom lifts  available). Whether it’s inverted, vertical, horizontal, or any other  load angle, the JET® JLH lever hoist is the solution for your heavy-duty  industrial needs.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET376100-1.jpg?v-cache=1570177117
14,Come-Alongs-Chain-Hoists,Jet Tools JET376200,$327.99,Jet,"

Features and Benefits:  Backed by a lifetime replacement warranty, JET’s revolutionary single-piece brake design fuses the three components into the safest brake system in the market NEW! All JLH-Series Lever Hoists come with slip clutch style overload protection that prevents lifting or pulling damaging loads beyond the rated capacity of the hoist and when triggered, the overload protection can be reset on site Weston style double ratchet pawl brake design splits the load to opposite sides of the ratchet gear for greater load security NEW! JET’s improved easy free chain design is a two-step, no load, free chaining system. The system permits quicker hoist positioning and take up of slack chain. And it is engineered not to free chain under load NEW! The patented, advanced offset handle design allows for extra clearance between the operator's hand and the load chain  Not available for sale in Canada. JET®  JLH Series Lever Hoists incorporate safety, durability, and heavy duty  construction for operation in severe industrial environments. Safety  comes standard with features such as overload protection, which prevents  the lever hoist from lifting or pulling damaging loads beyond its rated  capacity. The JET® JLH Series is available in ¼ ton to 9 ton  capacities, with standard lifts of 5, 10, 15, and 20 feet (custom lifts  available). Whether it’s inverted, vertical, horizontal, or any other  load angle, the JET® JLH lever hoist is the solution for your heavy-duty  industrial needs.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET376200-1.jpg?v-cache=1570177117
15,Come-Alongs-Chain-Hoists,Jet Tools - JET287402 MFG Part # 287402,$327.99,Jet,"

Features and Benefits:  NEW! Innovative brake wear indicator provides a visual indication when the friction disks are worn and need replacing NEW! JET’s improved easy free chain design is a two-step, no load, free chaining system. The system permits quicker hoist positioning and take up of slack chain, and is engineered not to free chain under load The Weston style double ratchet pawl brake design splits the load to opposite sides of the ratchet gear for greater load security and increased safety Industrial rated alloy steel hooks rotate 360 degrees for easy rigging and slowly stretch to indicate an overload situation NEW! Redesigned ergonomic grip allows for greater operator control and increased comfort  JET®  JLP-A Series lever hoists combine safety, reliability, and durability  that are designed to perform in light to medium-duty industrial  applications. The patented Brake Wear Indicator increases safety by  letting you know when to replace the friction disks. JET® also offers  the option of shipyard hooks, virtually eliminating stretched hooks  caused by point or tip loading. The JET® JLP-A lever hoist is available  in ¼ ton to 6 ton capacities with standard lifts of 5, 10, 15, and 20  feet (custom lifts available). The JET® JLP-A Series is the perfect  choice for a contractor grade lever hoist. Not available for sale in Canada.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287402-1.jpg?v-cache=1570177117
16,Come-Alongs-Chain-Hoists,Jet Tools JET376101,$333.99,Jet,"

Features and Benefits:  Backed by a lifetime replacement warranty, JET’s revolutionary single-piece brake design fuses the three components into the safest brake system in the market NEW! All JLH-Series Lever Hoists come with slip clutch style overload protection that prevents lifting or pulling damaging loads beyond the rated capacity of the hoist and when triggered, the overload protection can be reset on site Weston style double ratchet pawl brake design splits the load to opposite sides of the ratchet gear for greater load security NEW! JET’s improved easy free chain design is a two-step, no load, free chaining system. The system permits quicker hoist positioning and take up of slack chain. And it is engineered not to free chain under load NEW! The patented, advanced offset handle design allows for extra clearance between the operator's hand and the load chain  Not available for sale in Canada. JET®  JLH Series Lever Hoists incorporate safety, durability, and heavy duty  construction for operation in severe industrial environments. Safety  comes standard with features such as overload protection, which prevents  the lever hoist from lifting or pulling damaging loads beyond its rated  capacity. The JET® JLH Series is available in ¼ ton to 9 ton  capacities, with standard lifts of 5, 10, 15, and 20 feet (custom lifts  available). Whether it’s inverted, vertical, horizontal, or any other  load angle, the JET® JLH lever hoist is the solution for your heavy-duty  industrial needs.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET376101-1.jpg?v-cache=1570177117
17,Come-Alongs-Chain-Hoists,Jet Tools - JET376201 MFG Part # 376201,$345.99,Jet,"

Features and Benefits:  Patented fused brake design with proven durability with a lifetime warranty Slip clutch design overload protection prevents lifting or pulling damaging loads Weston Style, double pawl brake design splits the load to opposite sides of the ratchet gear for greater load security Safety 1 JLH-100WO-10 Lever Hoist  Not available for sale in Canada.  


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET376201-1.jpg?v-cache=1570177117
18,Come-Alongs-Chain-Hoists,Jet Tools JET287404,$350.99,Jet,"

Features and Benefits:  NEW! Innovative brake wear indicator provides a visual indication when the friction disks are worn and need replacing NEW! JET’s improved easy free chain design is a two-step, no load, free chaining system. The system permits quicker hoist positioning and take up of slack chain, and is engineered not to free chain under load The Weston style double ratchet pawl brake design splits the load to opposite sides of the ratchet gear for greater load security and increased safety Industrial rated alloy steel hooks rotate 360 degrees for easy rigging and slowly stretch to indicate an overload situation NEW! Redesigned ergonomic grip allows for greater operator control and increased comfort  Not available for sale in Canada. JET®  JLP-A Series lever hoists combine safety, reliability, and durability  that are designed to perform in light to medium-duty industrial  applications. The patented Brake Wear Indicator increases safety by  letting you know when to replace the friction disks. JET® also offers  the option of shipyard hooks, virtually eliminating stretched hooks  caused by point or tip loading. The JET® JLP-A lever hoist is available  in ¼ ton to 6 ton capacities with standard lifts of 5, 10, 15, and 20  feet (custom lifts available). The JET® JLP-A Series is the perfect  choice for a contractor grade lever hoist.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287403-1.jpg?v-cache=1570177117
19,Come-Alongs-Chain-Hoists,Jet Tools JET376102,$360.99,Jet,"

Features and Benefits:  Backed by a lifetime replacement warranty, JET’s revolutionary single-piece brake design fuses the three components into the safest brake system in the market NEW! All JLH-Series Lever Hoists come with slip clutch style overload protection that prevents lifting or pulling damaging loads beyond the rated capacity of the hoist and when triggered, the overload protection can be reset on site Weston style double ratchet pawl brake design splits the load to opposite sides of the ratchet gear for greater load security NEW! JET’s improved easy free chain design is a two-step, no load, free chaining system. The system permits quicker hoist positioning and take up of slack chain. And it is engineered not to free chain under load NEW! The patented, advanced offset handle design allows for extra clearance between the operator's hand and the load chain  Not available for sale in Canada. JET®  JLH Series Lever Hoists incorporate safety, durability, and heavy duty  construction for operation in severe industrial environments. Safety  comes standard with features such as overload protection, which prevents  the lever hoist from lifting or pulling damaging loads beyond its rated  capacity. The JET® JLH Series is available in ¼ ton to 9 ton  capacities, with standard lifts of 5, 10, 15, and 20 feet (custom lifts  available). Whether it’s inverted, vertical, horizontal, or any other  load angle, the JET® JLH lever hoist is the solution for your heavy-duty  industrial needs.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET376102-1.jpg?v-cache=1570177117
20,Come-Alongs-Chain-Hoists,Jet Tools - JET287500 MFG Part # 287500,$369.99,Jet,"

Features and Benefits:  NEW! Innovative brake wear indicator provides a visual indication when the friction disks are worn and need replacing NEW! JET’s improved easy free chain design is a two-step, no load, free chaining system. The system permits quicker hoist positioning and take up of slack chain, and is engineered not to free chain under load The Weston style double ratchet pawl brake design splits the load to opposite sides of the ratchet gear for greater load security and increased safety Industrial rated alloy steel hooks rotate 360 degrees for easy rigging and slowly stretch to indicate an overload situation NEW! Redesigned ergonomic grip allows for greater operator control and increased comfort  Not available for sale in Canada. JET®  JLP-A Series lever hoists combine safety, reliability, and durability  that are designed to perform in light to medium-duty industrial  applications. The patented Brake Wear Indicator increases safety by  letting you know when to replace the friction disks. JET® also offers  the option of shipyard hooks, virtually eliminating stretched hooks  caused by point or tip loading. The JET® JLP-A lever hoist is available  in ¼ ton to 6 ton capacities with standard lifts of 5, 10, 15, and 20  feet (custom lifts available). The JET® JLP-A Series is the perfect  choice for a contractor grade lever hoist.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET287500-1.jpg?v-cache=1570177117
21,Come-Alongs-Chain-Hoists,Jet Tools JET376203,$372.99,Jet,"

Features and Benefits:  Backed by a lifetime replacement warranty, JET’s revolutionary single-piece brake design fuses the three components into the safest brake system in the market NEW! All JLH-Series Lever Hoists come with slip clutch style overload protection that prevents lifting or pulling damaging loads beyond the rated capacity of the hoist and when triggered, the overload protection can be reset on site Weston style double ratchet pawl brake design splits the load to opposite sides of the ratchet gear for greater load security NEW! JET’s improved easy free chain design is a two-step, no load, free chaining system. The system permits quicker hoist positioning and take up of slack chain. And it is engineered not to free chain under load NEW! The patented, advanced offset handle design allows for extra clearance between the operator's hand and the load chain  Not available for sale in Canada. JET®  JLH Series Lever Hoists incorporate safety, durability, and heavy duty  construction for operation in severe industrial environments. Safety  comes standard with features such as overload protection, which prevents  the lever hoist from lifting or pulling damaging loads beyond its rated  capacity. The JET® JLH Series is available in ¼ ton to 9 ton  capacities, with standard lifts of 5, 10, 15, and 20 feet (custom lifts  available). Whether it’s inverted, vertical, horizontal, or any other  load angle, the JET® JLH lever hoist is the solution for your heavy-duty  industrial needs.


",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/JET376202-1.jpg?v-cache=1570177117
